==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:25:39
==============================================================
  File              : logs\echo_2026-05-17_14-25-39.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:25:52.693] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.5 risk=0.73
[14:25:52.709] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.5 risk=0.73
[14:25:52.726] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.4 risk=0.73
[14:25:52.744] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.4 risk=0.73
[14:25:52.760] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.3 risk=0.73
[14:25:52.777] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.3 risk=0.73
[14:25:52.794] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.2 risk=0.73
[14:25:52.809] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.2 risk=0.73
[14:25:52.825] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.1 risk=0.73
[14:25:52.841] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.1 risk=0.73
[14:25:52.858] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.0 risk=0.73
[14:25:52.874] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.0 risk=0.73
[14:25:52.891] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=18.0 risk=0.73
[14:25:52.908] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.9 risk=0.73
[14:25:52.924] [STATE_CHANGE        ] ECHO-03  | WANDER (2.1s) -> REST  [normal]  h=38 e=29 s=65
[14:25:52.925] [REST_REASON         ] ECHO-03  | low_energy | energy=29.2 laziness=0.28
[14:25:52.925] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.9 risk=0.73
[14:25:52.940] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.8 risk=0.73
[14:25:52.957] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.8 risk=0.73
[14:25:52.973] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.7 risk=0.73
[14:25:52.999] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.7 risk=0.73
[14:25:53.015] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.6 risk=0.73
[14:25:53.042] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.5 risk=0.73
[14:25:53.060] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.5 risk=0.73
[14:25:53.078] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.4 risk=0.73
[14:25:53.094] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.4 risk=0.73
[14:25:53.110] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.3 risk=0.73
[14:25:53.127] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.3 risk=0.73
[14:25:53.143] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.2 risk=0.73
[14:25:53.160] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.2 risk=0.73
[14:25:53.177] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.2 risk=0.73
[14:25:53.195] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.1 risk=0.73
[14:25:53.212] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.1 risk=0.73
[14:25:53.229] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.0 risk=0.73
[14:25:53.246] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=17.0 risk=0.73
[14:25:53.247] [FOOD_FOUND          ] ECHO-10  | ate at (521, 182)  total=2
[14:25:53.247] [RIVALRY             ] ECHO-10  | with ECHO-07  | affinity=  -2.9 (Δ-3.0)
[14:25:53.263] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.9 risk=0.73
[14:25:53.264] [STATE_CHANGE        ] ECHO-10  | SEEK_FOOD (9.2s) -> WANDER  [normal]  h=22 e=33 s=50
[14:25:53.282] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.9 risk=0.73
[14:25:53.301] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.8 risk=0.73
[14:25:53.315] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.8 risk=0.73
[14:25:53.331] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.7 risk=0.73
[14:25:53.351] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.7 risk=0.73
[14:25:53.396] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.5 risk=0.73
[14:25:53.427] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.5 risk=0.73
[14:25:53.436] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.4 risk=0.73
[14:25:53.452] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.4 risk=0.73
[14:25:53.511] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.2 risk=0.73
[14:25:53.542] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.2 risk=0.73
[14:25:53.560] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.1 risk=0.73
[14:25:53.577] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.1 risk=0.73
[14:25:53.594] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.0 risk=0.73
