==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:40:52
==============================================================
  File              : logs\echo_2026-05-17_14-40-52.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:40:54.738] [STATE_CHANGE        ] ECHO-01  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=56 e=60 s=53
[14:40:55.282] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.283] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.298] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.299] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.313] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.314] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.330] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.330] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.346] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.347] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.364] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.365] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.380] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.381] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.396] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.397] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.412] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.413] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.428] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.429] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.445] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.446] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.461] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.462] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.477] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.478] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.494] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.494] [STATE_CHANGE        ] ECHO-05  | WANDER (2.8s) -> SEEK_FOOD  [normal]  h=55 e=60 s=35
[14:40:55.496] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.510] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.511] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.526] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.527] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.544] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
