
============================================================
  PROJECT ECHO – Session 2026-05-17 13:00:12
============================================================
[13:00:33.001] [STATE_CHANGE ] ECHO-11  | SOCIALIZE -> WANDER
[13:00:33.017] [STATE_CHANGE ] ECHO-05  | SEEK_FOOD -> SOCIALIZE
[13:00:33.018] [STATE_CHANGE ] ECHO-11  | WANDER -> SEEK_FOOD
[13:00:33.229] [FOOD_FOUND   ] ECHO-03  | ate at (372, 70)
[13:00:33.246] [STATE_CHANGE ] ECHO-03  | SEEK_FOOD -> REST
[13:00:33.278] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:33.361] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:33.362] [SOCIAL       ] ECHO-05  | interacting with ECHO-06
[13:00:33.379] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:33.463] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> SEEK_FOOD
[13:00:33.479] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:33.496] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:33.578] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:33.595] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:33.692] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:33.709] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:33.825] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:33.840] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:33.921] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:33.938] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.038] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.054] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.154] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.170] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.271] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.286] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.385] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.402] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.484] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.500] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.617] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.632] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.716] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.732] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.847] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.863] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:34.948] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:34.967] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.066] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.067] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.083] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.101] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.118] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.184] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.201] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.201] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.217] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.316] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.317] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.334] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.334] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.418] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.435] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.435] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.451] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.532] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.533] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.550] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.551] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.632] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
